"","State","Region","Race","Population","Group"
"418","New Mexico","West","NHW",16.0652952690475,"Infection"
"419","North Carolina","South","NHW",58.0251949610078,"Infection"
"420","Ohio","Midwest","NHW",63.9351960554121,"Infection"
"421","Oklahoma","South","NHW",70.2759185517806,"Infection"
"422","Oregon","West","NHW",47.5847371625736,"Infection"
"423","Pennsylvania","Northeast","NHW",70.7755574862438,"Infection"
"424","Rhode Island","Northeast","NHW",37.8311922922521,"Infection"
"425","South Carolina","South","NHW",53.548617038239,"Infection"
"426","South Dakota","Midwest","NHW",61.5436151681629,"Infection"
"427","Tennessee","South","NHW",63.7565903280847,"Infection"
"428","Texas","South","NHW",33.9128035320088,"Infection"
"429","Utah","West","NHW",53.8088874039425,"Infection"
"430","Vermont","Northeast","NHW",83.9357429718875,"Infection"
"431","Virginia","South","NHW",36.8662213086673,"Infection"
"432","Washington","West","NHW",39.2563508842579,"Infection"
"433","West Virginia","South","NHW",78.2180716809692,"Infection"
"434","Wisconsin","Midwest","NHW",77.4229591532117,"Infection"
"435","Wyoming","West","NHW",68.9009159034138,"Infection"
"436","Alabama","South","NHB",36.5696490339544,"Infection"
"437","Alaska","West","NHB",6.16362192216044,"Infection"
"438","Arizona","West","NHB",4.43857261056396,"Infection"
"439","Arkansas","South","NHB",23.4094376488852,"Infection"
"440","California","West","NHB",4.2668923644618,"Infection"
"441","Colorado","West","NHB",5.02242459515903,"Infection"
"442","Connecticut","Northeast","NHB",18.2975259613724,"Infection"
"443","Delaware","South","NHB",28.7045813586098,"Infection"
"444","District of Columbia","South","NHB",50.8521237545884,"Infection"
"445","Florida","South","NHB",19.3648875185224,"Infection"
"446","Georgia","South","NHB",34.9873737373737,"Infection"
"447","Hawaii","West","NHB",2.4950555301993,"Infection"
"448","Idaho","West","NHB",1.32714717306862,"Infection"
"449","Illinois","Midwest","NHB",18.1049963992379,"Infection"
"450","Indiana","Midwest","NHB",12.0405907137791,"Infection"
"451","Iowa","Midwest","NHB",7.14860407112398,"Infection"
"452","Kansas","Midwest","NHB",8.36692735628477,"Infection"
"453","Kentucky","South","NHB",12.044878132657,"Infection"
"454","Louisiana","South","NHB",40.4426357676964,"Infection"
"455","Maine","Northeast","NHB",19.8901769371568,"Infection"
"456","Maryland","South","NHB",37.3128830879367,"Infection"
"457","Massachusetts","Northeast","NHB",12.9339212546018,"Infection"
"458","Michigan","Midwest","NHB",23.4932338802115,"Infection"
"459","Minnesota","Midwest","NHB",18.7733001952778,"Infection"
"460","Mississippi","South","NHB",45.6218402426694,"Infection"
"461","Missouri","Midwest","NHB",20.5787819207177,"Infection"
"462","Nebraska","Midwest","NHB",6.76371121893839,"Infection"
"463","Nevada","West","NHB",8.30336383252764,"Infection"
"464","New Hampshire","Northeast","NHB",5.22929500342231,"Infection"
"465","New Jersey","Northeast","NHB",16.0048485936834,"Infection"
"466","New Mexico","West","NHB",1.93152860361192,"Infection"
"467","North Carolina","South","NHB",23.2627474505099,"Infection"
"468","Ohio","Midwest","NHB",22.2631486264381,"Infection"
"469","Oklahoma","South","NHB",8.78590188935017,"Infection"
"470","Oregon","West","NHB",3.89012921994452,"Infection"
"471","Pennsylvania","Northeast","NHB",24.1297422531132,"Infection"
"472","Rhode Island","Northeast","NHB",12.3695303091128,"Infection"
"473","South Carolina","South","NHB",36.2008647614403,"Infection"
